epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,spike_rate,spike_rate_layer_1,spike_rate_layer_2,spike_rate_layer_3,spike_rate_layer_4,spike_rate_layer_5,spike_rate_layer_6,spike_rate_layer_7,spike_rate_layer_8,avg_spike_rate
1,4.470873770004325,0.02899596076168494,4.139493227005005,0.11198649409116489,0.11198649409116489,0.26955543050084413,"[0.020448873048376816, 0.03418020310614371, 0.03941625906685862, 0.03448977963453562, 0.03263560270538978, 0.030760307971993958, 0.029512939666452565, 0.04037658565542975]",0.020448873048376816,0.03418020310614371,0.03941625906685862,0.03448977963453562,0.03263560270538978,0.030760307971993958,0.029512939666452565,0.04037658565542975,0.03272756885689761
2,4.140818031601428,0.05770340450086555,3.7226391966567447,0.17613956105796286,0.17613956105796286,0.39223410241980866,"[0.024091588851209725, 0.048463188664499425, 0.04639864929921445, 0.046931716634093776, 0.04292963574672709, 0.0460848459197976, 0.04506227544284762, 0.07913296944084011]",0.024091588851209725,0.048463188664499425,0.04639864929921445,0.046931716634093776,0.04292963574672709,0.0460848459197976,0.04506227544284762,0.07913296944084011,0.047386858749903726
3,3.914433216416162,0.0894402769763416,3.481488123602931,0.21890827236916152,0.21890827236916152,0.4445694991558807,"[0.02596987673469272, 0.05192650927068985, 0.04745829674717788, 0.05007450795584093, 0.04488303141677099, 0.047996759528336486, 0.04996385752802681, 0.09948946458666459]",0.02596987673469272,0.05192650927068985,0.04745829674717788,0.05007450795584093,0.04488303141677099,0.047996759528336486,0.04996385752802681,0.09948946458666459,0.05222028797102503
4,3.779660833198169,0.11569532602423543,3.285429563490265,0.2954417557681486,0.2954417557681486,0.49971862689926844,"[0.024861169186939654, 0.05142507659105141, 0.045364758421240235, 0.05031229696143845, 0.043399093311671494, 0.04696592661790378, 0.04902412407350973, 0.11399001401613448]",0.024861169186939654,0.05142507659105141,0.045364758421240235,0.05031229696143845,0.043399093311671494,0.04696592661790378,0.04902412407350973,0.11399001401613448,0.05316780739748615
5,3.5791741077462693,0.15161569532602423,3.1933725976088656,0.2864378165447383,0.2864378165447383,0.4974676420934159,"[0.025135189171282293, 0.04982184175540786, 0.04428309960328429, 0.051080780812801714, 0.04240940800775109, 0.046700000467614085, 0.04803900014007936, 0.1266826669184274]",0.025135189171282293,0.04982184175540786,0.04428309960328429,0.051080780812801714,0.04240940800775109,0.046700000467614085,0.04803900014007936,0.1266826669184274,0.05426899835958101
6,3.4644451559346163,0.17743796884016158,2.9761052524562372,0.3337084974676421,0.3337084974676421,0.5565559932470456,"[0.02519934031970372, 0.04734749321842032, 0.04141241359910314, 0.048746668115094524, 0.04064130735815661, 0.04574226515124211, 0.045638647845780436, 0.13548184660729273]",0.02519934031970372,0.04734749321842032,0.04141241359910314,0.048746668115094524,0.04064130735815661,0.04574226515124211,0.045638647845780436,0.13548184660729273,0.053776247776849195
7,3.2973590925628065,0.20989613387189845,2.7204902570343874,0.38942037141249297,0.38942037141249297,0.6083286437816545,"[0.02567915038332446, 0.046307574156007024, 0.03950415202803278, 0.04688146085640137, 0.03925485061710037, 0.044437599146129825, 0.04408863877338482, 0.14396298353343112]",0.02567915038332446,0.046307574156007024,0.03950415202803278,0.04688146085640137,0.03925485061710037,0.044437599146129825,0.04408863877338482,0.14396298353343112,0.053764551186726475
8,3.143918680897221,0.2504327755337565,2.791740627165867,0.35115362971299946,0.35115362971299946,0.5976364659538548,"[0.025406810567066233, 0.04427155076823416, 0.03878179220098308, 0.044900607680606275, 0.0386260890117382, 0.04432572324708212, 0.04237408262310606, 0.15291877809780338]",0.025406810567066233,0.04427155076823416,0.03878179220098308,0.044900607680606275,0.0386260890117382,0.04432572324708212,0.04237408262310606,0.15291877809780338,0.05395067927457744
9,2.980271248118963,0.2753894979803808,2.481751474965314,0.4074282498593135,0.4074282498593135,0.646595385481148,"[0.026817178647568756, 0.04347644766244095, 0.03747718264993567, 0.04484311762686766, 0.037916577325072726, 0.043449444339657896, 0.040180000187045636, 0.161919542288423]",0.026817178647568756,0.04347644766244095,0.03747718264993567,0.04484311762686766,0.037916577325072726,0.043449444339657896,0.040180000187045636,0.161919542288423,0.05450993634087654
10,2.887838933432116,0.29212348528563187,2.3217312766765263,0.45188519977490155,0.45188519977490155,0.687113111986494,"[0.027798297057346766, 0.04514674072839247, 0.03573366033930591, 0.043816501615965016, 0.03713946831221767, 0.04258139313598517, 0.03826018586328243, 0.1672108097082418]",0.027798297057346766,0.04514674072839247,0.03573366033930591,0.043816501615965016,0.03713946831221767,0.04258139313598517,0.03826018586328243,0.1672108097082418,0.05471088209509215
