epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,avg_firing_rate
1,4.547831851030853,0.02971725331794576,4.373867764066688,0.06133933595948227,0.06133933595948227,0.2470455824423185,0.01873119384525748,0.019904838669238454,0.0245383313192175,0.02173533548044423,0.027774533065161734,0.027217020911633097,0.03797159015817775,0.04564947157561774,0.0279402893780935
2,4.330734516922578,0.053231390652048474,3.9935956728298034,0.14687675858187957,0.14687675858187957,0.3624085537422622,0.01636103989951784,0.021339327507666,0.02949440336115384,0.03171886413879273,0.03871318563145514,0.03759810752317998,0.04419549405031063,0.0721176461372484,0.03644225853116557
3,4.1479340127595155,0.07862088863242932,3.7151089046033507,0.18570624648283623,0.18570624648283623,0.4074282498593135,0.014161121402792451,0.021011168257684686,0.031377316149771496,0.034320857412613766,0.04169840136401321,0.04115360959324264,0.043378664763170156,0.08290364890525045,0.03875059848106736
4,3.996766474282728,0.09434506635891518,3.5559536560768503,0.22003376477208778,0.22003376477208778,0.445694991558807,0.012958526683029895,0.020564514261842387,0.030803993969166485,0.034031913744613486,0.041189647918687296,0.04083387377744516,0.041174064935689085,0.09243679735012329,0.039249166580074636
5,3.874197109622801,0.11266589728793999,3.423838768304731,0.2723691615081598,0.2723691615081598,0.47945976364659537,0.013187694851522781,0.024541330820778057,0.031141367757359664,0.033473214658191065,0.04104365773837807,0.04070146360474338,0.04000969804282007,0.1005336215542645,0.0405790061285072
6,3.7693389927777177,0.13358338141950374,3.284270292707623,0.30388294879009564,0.30388294879009564,0.5109735509285313,0.013320471010457056,0.025279193603588632,0.03122519264675846,0.03374685918076382,0.04023333477201462,0.03966668682185725,0.03821735292615815,0.10720007728261209,0.04111114603052626
7,3.6756603060571655,0.15522215810732834,3.14626083967397,0.32245357343837927,0.32245357343837927,0.5199774901519415,0.013952998043537616,0.028574197390693754,0.029464744566893346,0.033025249411617864,0.04034338040568696,0.03879410812411527,0.03728958117616478,0.11385114304676298,0.041911925270684075
8,3.590226962079639,0.16474321984997115,3.1130196497579328,0.31626336522228476,0.31626336522228476,0.5306696679797411,0.014273247013159686,0.028057279964937367,0.027687257434206684,0.03353970079700251,0.039900695495722775,0.038382795723918436,0.03658227649139539,0.11960795543289725,0.04225390104415501
9,3.5127640914477003,0.18566070398153492,2.9812453461334845,0.35959482273494653,0.35959482273494653,0.5717501406865504,0.014475929777484431,0.027581535188455828,0.027412879728416446,0.035000247571880756,0.039802939280414985,0.03786826020497742,0.03572277878536661,0.12474603214099253,0.04282632533474862
10,3.4098106657069995,0.21133871898442008,2.8860427775992408,0.3517163759144626,0.3517163759144626,0.5965109735509285,0.01484349412114296,0.028032405019086555,0.02812097082969559,0.03539808515488165,0.0386856141926537,0.03666190344561262,0.03485619826208666,0.12938933646723508,0.04324850093654935
