epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,firing_rate_layer_1,firing_rate_layer_2,firing_rate_layer_3,firing_rate_layer_4,firing_rate_layer_5,firing_rate_layer_6,firing_rate_layer_7,firing_rate_layer_8,firing_rate_layer_9,firing_rate_layer_10,firing_rate_layer_11,firing_rate_layer_12,firing_rate_layer_13,firing_rate_layer_14,firing_rate_layer_15,firing_rate_layer_16,firing_rate_layer_17,avg_firing_rate
1,5.011501409053253,0.03534333525678015,4.453364843744868,0.05008441193021947,0.05008441193021947,0.21890827236916152,0.17549235326333587,0.24210999178638923,0.28800639721211546,0.2792428147009087,0.291364736106019,0.27927699754532415,0.2912008406519204,0.27382186077870313,0.29087283456751745,0.27572017797274334,0.2989243376928768,0.27975065378719294,0.29755527945125826,0.25552785008836354,0.20546776961840293,0.23496578916133892,0.17182304787113326,0.26065433719150255
2,4.340402244284078,0.0603000577034045,3.781698868948248,0.15362971299943726,0.15362971299943726,0.3691615081598199,0.1752962771859,0.24784836354415152,0.292082973500024,0.27517619440987323,0.30019816364521545,0.2681809308097162,0.29165003808449425,0.2602497736172966,0.2909529185487602,0.2590454807303493,0.29834739689458445,0.2617929196825213,0.2821872100918077,0.20636994657769475,0.14475917926159146,0.17951227093512911,0.11028462683865767,0.2437608626092804
3,4.027405023574829,0.09477784189267167,3.73274917639959,0.2144063027574564,0.2144063027574564,0.3725379853685988,0.16958355298641808,0.23861817873610497,0.2857520985740826,0.26652104448144703,0.29542520964159397,0.2547179818730864,0.2893166029247033,0.2398427100000084,0.2788731960221832,0.23549953077903646,0.29018042774486436,0.2246253370221235,0.26458883362520363,0.17733249184719543,0.126450500576279,0.1501210796351801,0.09747774821526724,0.22852508968733987
4,3.804573311800225,0.13170802077322563,3.371401175789769,0.24085537422622397,0.24085537422622397,0.44682048396173324,0.16490131608067649,0.2281638276673245,0.2823837049279658,0.24875976335906091,0.2906334383237458,0.23577357229476997,0.28677704231411794,0.21741617246757633,0.2772123667003102,0.20311664378904268,0.2818598203648062,0.19007163829869453,0.25870777156526237,0.14820895141108786,0.11646838961450551,0.12655451562302894,0.09276465436854017,0.2146925640688539
5,3.582063389896934,0.17354298903635315,3.1200853699793196,0.30782217220033764,0.30782217220033764,0.5289814293753518,0.16633775931053651,0.21673754226790162,0.2706287366763667,0.2379999779279943,0.28388786846103686,0.2133576109555072,0.28205130408791923,0.19248761083565472,0.2660791140141645,0.1677847010646588,0.2677289924489587,0.1562594810846631,0.24891853385318108,0.1117785483495587,0.1056098826231291,0.09738692638920826,0.08830079180971573,0.19843149306824442
6,3.35500726182843,0.20874206578188112,3.1682705059981666,0.2723691615081598,0.2723691615081598,0.509848058525605,0.16349132390445756,0.19867450211424892,0.2636245188993565,0.22763274341306047,0.27983169402768177,0.18992870407808482,0.2762802970560641,0.1704815828703954,0.2616268279175724,0.13694371880132034,0.25616856430916063,0.12584960295117303,0.2466816884781112,0.07905391248727206,0.0966520800915006,0.06965026327482954,0.0882157245006803,0.18416398524558644
7,3.263634560842415,0.2224466243508367,2.9862313020656996,0.29938097917839057,0.29938097917839057,0.558244231851435,0.16167196429999506,0.19100075307051903,0.26334289832373636,0.21451746877914507,0.2712807479669202,0.17257755125545168,0.2664685530041049,0.15394963995945612,0.2523249838453952,0.1152616246541342,0.2467731169158338,0.10476354192009982,0.23962079511244264,0.05716932461748478,0.0888052712234796,0.04889343569710464,0.08881100092517172,0.17277839244532203
8,3.1174190033403373,0.25086555106751296,2.8224503257616753,0.35734383792909397,0.35734383792909397,0.5970737197523917,0.1593226416960717,0.1857368565045703,0.2616955874617953,0.19550568613626534,0.2569816833328899,0.15557235095190203,0.2539651427659472,0.13500493932897809,0.23842857774428716,0.09815140245695,0.23884212172705102,0.08812371857851008,0.23033651723718687,0.04292420234372186,0.08439736917357127,0.032175120229402075,0.0875684962993126,0.16145484788049488
9,2.9621062253998227,0.2880842469705713,2.7932274631253806,0.345526167698368,0.345526167698368,0.6263365222284749,0.15405869318952178,0.17513618207445295,0.25334914973037914,0.1872949849473013,0.2544444516895828,0.141005604467865,0.2510729511221386,0.12093614767441989,0.23260586409695255,0.08614212819311716,0.2319375132964419,0.0762778140709337,0.22544677157990506,0.03268663742963003,0.08324018564191242,0.021669855436789263,0.09096509632079802,0.15401588417424364
10,2.876917604206618,0.2957299480669359,2.671019374722857,0.39335959482273497,0.39335959482273497,0.6297129994372538,0.15204924563635597,0.16612334625393738,0.24654459675015578,0.1782044931101552,0.24688157509492475,0.1285179944681874,0.24632578547300632,0.1097774786767664,0.2276208901102844,0.07421825655328905,0.2243271114696958,0.06603164848846824,0.2177080665685173,0.026147296997915053,0.08263685224240488,0.015728670184037515,0.09267294781430788,0.14714801505249467
11,2.7651478751995433,0.32847663012117717,2.749556587950531,0.37084974676420934,0.37084974676420934,0.622397298818233,0.15118043490347127,0.1576924098101731,0.23748367004878498,0.167841185467466,0.24831576017359966,0.11954241150940711,0.2438894572362494,0.10120068412613553,0.21955625296464007,0.06587454020358287,0.21949308459184025,0.058418601848949855,0.21471219789885596,0.02135511431314541,0.08376822765310744,0.011230775861729138,0.09417988734261806,0.14210204093845624
